method,lv,TP,FN,FP,recall,prec,csi
cut_glc,all,465,36,2,0.928,0.996,0.924
linear,all,482,19,6,0.962,0.988,0.951
rq,all,484,17,11,0.966,0.978,0.945
rbf,all,490,11,18,0.978,0.965,0.944
akima,all,490,11,14,0.978,0.972,0.951
polynomial_7,all,491,10,18,0.98,0.965,0.946
pchip,all,491,10,10,0.98,0.98,0.961
matern,all,492,9,18,0.982,0.965,0.948
cubicspline,all,492,9,15,0.982,0.97,0.953
polynomial_3,all,492,9,15,0.982,0.97,0.953
polynomial_5,all,493,8,17,0.984,0.967,0.952
cut_glc,lv1,270,33,19,0.891,0.934,0.839
rq,lv1,279,24,22,0.921,0.927,0.858
polynomial_7,lv1,280,23,23,0.924,0.924,0.859
rbf,lv1,281,22,23,0.927,0.924,0.862
linear,lv1,281,22,19,0.927,0.937,0.873
polynomial_5,lv1,282,21,22,0.931,0.928,0.868
cubicspline,lv1,282,21,21,0.931,0.931,0.87
polynomial_3,lv1,282,21,21,0.931,0.931,0.87
matern,lv1,283,20,23,0.934,0.925,0.868
akima,lv1,284,19,21,0.937,0.931,0.877
pchip,lv1,285,18,19,0.941,0.938,0.885
cut_glc,lv2,177,21,1,0.894,0.994,0.889
linear,lv2,184,14,4,0.929,0.979,0.911
rq,lv2,186,12,8,0.939,0.959,0.903
pchip,lv2,188,10,9,0.949,0.954,0.908
akima,lv2,190,8,9,0.96,0.955,0.918
cubicspline,lv2,191,7,13,0.965,0.936,0.905
polynomial_3,lv2,191,7,13,0.965,0.936,0.905
matern,lv2,191,7,13,0.965,0.936,0.905
polynomial_5,lv2,192,6,14,0.97,0.932,0.906
polynomial_7,lv2,192,6,14,0.97,0.932,0.906
rbf,lv2,192,6,12,0.97,0.941,0.914
